"","Year","Tm","Home_win_pct","Home_Games","Home_Wins","Away_win_pct","Away_Games","Away_Wins"
"349",1897,"STL",0.295081967213115,61,18,0.152777777777778,72,11
"350",1897,"WHS",0.588235294117647,68,40,0.313432835820896,67,21
"351",1898,"BLN",0.763157894736842,76,58,0.487179487179487,78,38
"352",1898,"BRO",0.405405405405405,74,30,0.32,75,24
"353",1898,"BSN",0.784810126582278,79,62,0.547945205479452,73,40
"354",1898,"CHC",0.651685393258427,89,58,0.428571428571429,63,27
"355",1898,"CIN",0.651685393258427,89,58,0.5,68,34
"356",1898,"CLV",0.631578947368421,57,36,0.454545454545455,99,45
"357",1898,"LOU",0.544303797468354,79,43,0.36,75,27
"358",1898,"NYG",0.592105263157895,76,45,0.395061728395062,81,32
"359",1898,"PHI",0.604938271604938,81,49,0.420289855072464,69,29
"360",1898,"PIT",0.52,75,39,0.428571428571429,77,33
"361",1898,"STL",0.303030303030303,66,20,0.215909090909091,88,19
"362",1898,"WHS",0.425,80,34,0.226666666666667,75,17
"363",1899,"BLN",0.662337662337662,77,51,0.466666666666667,75,35
"364",1899,"BRO",0.782051282051282,78,61,0.555555555555556,72,40
"365",1899,"BSN",0.6625,80,53,0.575342465753425,73,42
"366",1899,"CHC",0.517647058823529,85,44,0.462686567164179,67,31
"367",1899,"CIN",0.647727272727273,88,57,0.376811594202899,69,26
"368",1899,"CLV",0.214285714285714,42,9,0.0982142857142857,112,11
"369",1899,"LOU",0.523809523809524,63,33,0.451612903225806,93,42
"370",1899,"NYG",0.460526315789474,76,35,0.324675324675325,77,25
"371",1899,"PHI",0.698795180722892,83,58,0.507042253521127,71,36
"372",1899,"PIT",0.576470588235294,85,49,0.385714285714286,70,27
"373",1899,"STL",0.574712643678161,87,50,0.5,68,34
"374",1899,"WHS",0.443037974683544,79,35,0.25,76,19
"375",1900,"BRO",0.589041095890411,73,43,0.565217391304348,69,39
"376",1900,"BSN",0.575342465753425,73,42,0.347826086956522,69,24
"377",1900,"CHC",0.584415584415584,77,45,0.289855072463768,69,20
"378",1900,"CIN",0.428571428571429,63,27,0.432098765432099,81,35
"379",1900,"NYG",0.535211267605634,71,38,0.314285714285714,70,22
"380",1900,"PHI",0.642857142857143,70,45,0.422535211267606,71,30
"381",1900,"PIT",0.6,70,42,0.528571428571429,70,37
"382",1900,"STL",0.555555555555556,72,40,0.357142857142857,70,25
"383",1901,"BLA",0.606060606060606,66,40,0.405797101449275,69,28
"384",1901,"BOS",0.710144927536232,69,49,0.434782608695652,69,30
"385",1901,"BRO",0.632352941176471,68,43,0.521739130434783,69,36
"386",1901,"BSN",0.585714285714286,70,41,0.4,70,28
"387",1901,"CHC",0.428571428571429,70,30,0.328571428571429,70,23
"388",1901,"CHW",0.690140845070423,71,49,0.515151515151515,66,34
"389",1901,"CIN",0.375,72,27,0.357142857142857,70,25
"390",1901,"CLE",0.405797101449275,69,28,0.376811594202899,69,26
"391",1901,"DET",0.6,70,42,0.484848484848485,66,32
"392",1901,"MLA",0.457142857142857,70,32,0.231884057971014,69,16
"393",1901,"NYG",0.422535211267606,71,30,0.314285714285714,70,22
"394",1901,"PHA",0.636363636363636,66,42,0.450704225352113,71,32
"395",1901,"PHI",0.666666666666667,69,46,0.52112676056338,71,37
"396",1901,"PIT",0.652173913043478,69,45,0.633802816901408,71,45
"397",1901,"STL",0.555555555555556,72,40,0.514285714285714,70,36
"398",1901,"WSH",0.455882352941176,68,31,0.428571428571429,70,30
"399",1902,"BLA",0.5,64,32,0.233766233766234,77,18
"400",1902,"BOS",0.605633802816901,71,43,0.507462686567164,67,34
"401",1902,"BRO",0.652173913043478,69,45,0.416666666666667,72,30
"402",1902,"BSN",0.583333333333333,72,42,0.442857142857143,70,31
"403",1902,"CHC",0.430555555555556,72,31,0.52112676056338,71,37
"404",1902,"CHW",0.666666666666667,72,48,0.393939393939394,66,26
"405",1902,"CIN",0.5,70,35,0.492957746478873,71,35
