Year,Tm,Home_win_pct,Home_Games,Home_Wins,Away_win_pct,Away_Games,Away_Wins,Difference,Absolute Difference
1900,PHI,0.642857143,70,45,0.422535211,71,30,0.220321932,0.220321932
1871,CHI,0.764705882,17,13,0.545454545,11,6,0.219251337,0.219251337
1892,LOU,0.528571429,70,37,0.30952381,84,26,0.219047619,0.219047619
1931,CHC,0.649350649,77,50,0.430379747,79,34,0.218970903,0.218970903
2009,PIT,0.49382716,81,40,0.275,80,22,0.21882716,0.21882716
1893,PHI,0.651515152,66,43,0.432835821,67,29,0.218679331,0.218679331
1909,DET,0.730769231,78,57,0.5125,80,41,0.218269231,0.218269231
1944,BOS,0.602564103,78,47,0.384615385,78,30,0.217948718,0.217948718
1937,CLE,0.641025641,78,50,0.423076923,78,33,0.217948718,0.217948718
1896,NYG,0.590909091,66,39,0.373134328,67,25,0.217774763,0.217774763
1995,STL,0.541666667,72,39,0.323943662,71,23,0.217723005,0.217723005
1890,BRG,0.394736842,38,15,0.177419355,62,11,0.217317487,0.217317487
1926,SLB,0.506329114,79,40,0.289473684,76,22,0.21685543,0.21685543
1889,NYG,0.746031746,63,47,0.529411765,68,36,0.216619981,0.216619981
1890,CLV,0.428571429,70,30,0.212121212,66,14,0.216450216,0.216450216
1880,PRO,0.704545455,44,31,0.488372093,43,21,0.216173362,0.216173362
1931,WSH,0.696202532,79,55,0.480519481,77,37,0.215683051,0.215683051
1980,HOU,0.679012346,81,55,0.463414634,82,38,0.215597712,0.215597712
2005,HOU,0.654320988,81,53,0.43902439,82,36,0.215296597,0.215296597
1927,PHI,0.435897436,78,34,0.220779221,77,17,0.215118215,0.215118215
1956,CHC,0.4875,80,39,0.272727273,77,21,0.214772727,0.214772727
1967,PIT,0.604938272,81,49,0.390243902,82,32,0.214694369,0.214694369
1927,SLB,0.487179487,78,38,0.272727273,77,21,0.214452214,0.214452214
1872,ECK,0.214285714,14,3,0,15,0,0.214285714,0.214285714
1980,SDP,0.555555556,81,45,0.341463415,82,28,0.214092141,0.214092141
1980,LAD,0.670731707,82,55,0.456790123,81,37,0.213941584,0.213941584
1903,PHA,0.656716418,67,44,0.442857143,70,31,0.213859275,0.213859275
1960,STL,0.662337662,77,51,0.448717949,78,35,0.213619714,0.213619714
1897,CHC,0.537313433,67,36,0.323943662,71,23,0.213369771,0.213369771
1938,BOS,0.693333333,75,52,0.48,75,36,0.213333333,0.213333333
1894,LOU,0.387096774,62,24,0.173913043,69,12,0.213183731,0.213183731
1959,PIT,0.61038961,77,47,0.397435897,78,31,0.212953713,0.212953713
1892,PIT,0.606741573,89,54,0.393939394,66,26,0.212802179,0.212802179
1902,CLE,0.615384615,65,40,0.402777778,72,29,0.212606838,0.212606838
1981,PHI,0.654545455,55,36,0.442307692,52,23,0.212237762,0.212237762
1966,CIN,0.582278481,79,46,0.37037037,81,30,0.211908111,0.211908111
1889,KCC,0.5,70,35,0.289855072,69,20,0.210144928,0.210144928
2008,TBR,0.703703704,81,57,0.49382716,81,40,0.209876543,0.209876543
1988,BOS,0.654320988,81,53,0.444444444,81,36,0.209876543,0.209876543
1969,MIN,0.703703704,81,57,0.49382716,81,40,0.209876543,0.209876543
2009,BOS,0.691358025,81,56,0.481481481,81,39,0.209876543,0.209876543
2008,BOS,0.691358025,81,56,0.481481481,81,39,0.209876543,0.209876543
1993,CAL,0.543209877,81,44,0.333333333,81,27,0.209876543,0.209876543
1989,DET,0.469135802,81,38,0.259259259,81,21,0.209876543,0.209876543
1971,DET,0.666666667,81,54,0.456790123,81,37,0.209876543,0.209876543
2015,ATL,0.518518519,81,42,0.308641975,81,25,0.209876543,0.209876543
1999,OAK,0.641975309,81,52,0.432098765,81,35,0.209876543,0.209876543
1983,MIL,0.641975309,81,52,0.432098765,81,35,0.209876543,0.209876543
1970,BOS,0.641975309,81,52,0.432098765,81,35,0.209876543,0.209876543
1963,NYM,0.419753086,81,34,0.209876543,81,17,0.209876543,0.209876543
2017,BAL,0.567901235,81,46,0.358024691,81,29,0.209876543,0.209876543
